Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python,Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python,Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python
-0.023448,-0.00889,0.22925,4.98E-02,-1.9362,-2.25E+01,-0.023911,-1.91E-02,0.1857,1.61E-01,-0.03067,-3.15E-02,-0.077199,-3.39E-02,0.36783,2.68E-01,-0.044643,1.87E-03
-0.02523,-0.00904,0.23458,4.89E-02,-1.932,-2.23E+01,-0.025979,-2.06E-02,0.19091,1.65E-01,-0.030952,-3.17E-02,-0.092536,-4.39E-02,0.37077,2.77E-01,-0.047034,6.10E-04
-0.027006,-0.00918,0.23863,4.79E-02,-1.9211,-2.22E+01,-0.028101,-2.21E-02,0.19539,1.68E-01,-0.031246,-3.19E-02,-0.10863,-5.48E-02,0.37167,2.86E-01,-0.049568,-8.14E-04
-0.028776,-0.00933,0.24144,4.69E-02,-1.9039,-2.20E+01,-0.030284,-2.37E-02,0.19916,1.71E-01,-0.031556,-3.21E-02,-0.12544,-6.67E-02,0.37055,2.95E-01,-0.05222,-2.41E-03
-0.030542,-0.00948,0.24309,4.57E-02,-1.8808,-2.18E+01,-0.032535,-2.53E-02,0.2023,1.74E-01,-0.031885,-3.23E-02,-0.14289,-7.96E-02,0.36753,3.02E-01,-0.054965,-4.17E-03
-0.032307,-0.00964,0.24364,4.44E-02,-1.8521,-2.16E+01,-0.034861,-2.69E-02,0.20484,1.76E-01,-0.032236,-3.24E-02,-0.16079,-9.35E-02,0.36273,3.08E-01,-0.057778,-6.11E-03
-0.034072,-0.0098,0.24316,4.31E-02,-1.8183,-2.14E+01,-0.037269,-2.87E-02,0.20684,1.77E-01,-0.032613,-3.26E-02,-0.17887,-1.08E-01,0.35633,3.12E-01,-0.06063,-8.21E-03
-0.03584,-0.00998,0.24171,4.17E-02,-1.7797,-2.12E+01,-0.039768,-3.05E-02,0.20833,1.78E-01,-0.033017,-3.29E-02,-0.19678,-1.24E-01,0.34852,3.15E-01,-0.063498,-1.05E-02
-0.037613,-0.0102,0.23936,4.03E-02,-1.7367,-2.10E+01,-0.042365,-3.24E-02,0.20934,1.79E-01,-0.033451,-3.31E-02,-0.21411,-1.41E-01,0.33951,3.16E-01,-0.066359,-1.29E-02
-0.039394,-0.0104,0.23617,3.88E-02,-1.6896,-2.08E+01,-0.045069,-3.44E-02,0.20992,1.79E-01,-0.033918,-3.33E-02,-0.2304,-1.58E-01,0.32952,3.16E-01,-0.069191,-1.54E-02
-0.041184,-0.0106,0.23221,3.74E-02,-1.6387,-2.05E+01,-0.047887,-3.64E-02,0.21009,1.79E-01,-0.034418,-3.36E-02,-0.24519,-1.75E-01,0.31878,3.14E-01,-0.071977,-1.80E-02
-0.042987,-0.0108,0.22753,3.59E-02,-1.5844,-2.03E+01,-0.050828,-3.87E-02,0.20988,1.79E-01,-0.034952,-3.39E-02,-0.25805,-1.92E-01,0.30748,3.10E-01,-0.074704,-2.07E-02
-0.044804,-0.011,0.22221,3.44E-02,-1.5269,-2.01E+01,-0.053898,-4.10E-02,0.2093,1.79E-01,-0.035523,-3.41E-02,-0.26862,-2.08E-01,0.29579,3.05E-01,-0.07736,-2.35E-02
-0.046638,-0.0112,0.21628,3.28E-02,-1.4666,-1.98E+01,-0.057105,-4.34E-02,0.20838,1.78E-01,-0.03613,-3.45E-02,-0.27662,-2.23E-01,0.28388,2.99E-01,-0.079936,-2.63E-02
-0.04849,-0.0115,0.20981,3.13E-02,-1.4038,-1.95E+01,-0.060456,-4.61E-02,0.20713,1.77E-01,-0.036774,-3.48E-02,-0.28189,-2.36E-01,0.27188,2.91E-01,-0.082426,-2.91E-02
-0.050363,-0.0118,0.20285,2.98E-02,-1.3386,-1.93E+01,-0.063957,-4.88E-02,0.20556,1.76E-01,-0.037455,-3.52E-02,-0.28439,-2.47E-01,0.25988,2.83E-01,-0.084828,-3.19E-02
-0.052258,-0.0121,0.19544,2.83E-02,-1.2713,-1.90E+01,-0.067613,-5.18E-02,0.20367,1.74E-01,-0.038173,-3.55E-02,-0.28419,-2.56E-01,0.24796,2.74E-01,-0.087137,-3.47E-02
-0.054177,-0.0124,0.18762,2.68E-02,-1.2021,-1.87E+01,-0.071427,-5.49E-02,0.20149,1.73E-01,-0.038927,-3.59E-02,-0.28148,-2.61E-01,0.23617,2.64E-01,-0.089353,-3.74E-02
-0.05612,-0.0127,0.17945,2.53E-02,-1.1312,-1.85E+01,-0.075405,-5.81E-02,0.199,1.71E-01,-0.039716,-3.64E-02,-0.27652,-2.64E-01,0.22454,2.54E-01,-0.091476,-4.01E-02
-0.05809,-0.013,0.17094,2.38E-02,-1.0589,-1.82E+01,-0.079547,-6.16E-02,0.19621,1.69E-01,-0.040538,-3.68E-02,-0.26963,-2.65E-01,0.21308,2.44E-01,-0.093504,-4.27E-02
-0.060087,-0.0134,0.16215,2.23E-02,-0.98517,-1.79E+01,-0.083854,-6.53E-02,0.19312,1.67E-01,-0.041393,-3.73E-02,-0.26116,-2.63E-01,0.2018,2.34E-01,-0.09544,-4.52E-02
-0.062112,-0.0137,0.15311,2.08E-02,-0.91027,-1.76E+01,-0.088326,-6.92E-02,0.18973,1.64E-01,-0.042278,-3.78E-02,-0.25149,-2.58E-01,0.19069,2.23E-01,-0.097281,-4.77E-02
-0.064164,-0.0141,0.14383,1.94E-02,-0.83432,-1.73E+01,-0.09296,-7.32E-02,0.18603,1.61E-01,-0.043191,-3.83E-02,-0.24096,-2.52E-01,0.17974,2.13E-01,-0.09903,-5.01E-02
-0.066245,-0.0145,0.13435,1.79E-02,-0.75744,-1.70E+01,-0.097751,-7.75E-02,0.18202,1.59E-01,-0.044128,-3.88E-02,-0.22989,-2.44E-01,0.16894,2.02E-01,-0.10069,-5.24E-02
-0.068354,-0.015,0.12469,1.65E-02,-0.67973,-1.68E+01,-0.10269,-8.20E-02,0.17769,1.55E-01,-0.045086,-3.94E-02,-0.21854,-2.34E-01,0.15826,1.92E-01,-0.10225,-5.46E-02
-0.07049,-0.0154,0.11488,1.51E-02,-0.60129,-1.65E+01,-0.10778,-8.67E-02,0.17303,1.52E-01,-0.046062,-4.00E-02,-0.20714,-2.24E-01,0.14769,1.81E-01,-0.10371,-5.67E-02
-0.072654,-0.0159,0.10493,1.37E-02,-0.52221,-1.62E+01,-0.113,-9.16E-02,0.16803,1.48E-01,-0.047052,-4.05E-02,-0.19585,-2.13E-01,0.13722,1.71E-01,-0.10509,-5.87E-02
-0.074843,-0.0164,0.094865,1.23E-02,-0.44257,-1.59E+01,-0.11833,-9.67E-02,0.16269,1.44E-01,-0.04805,-4.11E-02,-0.18481,-2.02E-01,0.12683,1.60E-01,-0.10636,-6.06E-02
-0.077056,-0.0169,0.084697,1.09E-02,-0.36244,-1.56E+01,-0.12377,-1.02E-01,0.157,1.40E-01,-0.049052,-4.18E-02,-0.17409,-1.91E-01,0.1165,1.50E-01,-0.10754,-6.25E-02
-0.079292,-0.0175,0.074441,9.49E-03,-0.28187,-1.53E+01,-0.12928,-1.07E-01,0.15093,1.35E-01,-0.050052,-4.24E-02,-0.16374,-1.80E-01,0.10624,1.39E-01,-0.10863,-6.42E-02
-0.081549,-0.0181,0.064112,8.12E-03,-0.20093,-1.50E+01,-0.13486,-1.13E-01,0.1445,1.30E-01,-0.051045,-4.30E-02,-0.15377,-1.69E-01,0.096022,1.28E-01,-0.10961,-6.58E-02
-0.083824,-0.0187,0.05372,6.75E-03,-0.11965,-1.47E+01,-0.14047,-1.19E-01,0.13767,1.25E-01,-0.052023,-4.36E-02,-0.14418,-1.59E-01,0.085846,1.18E-01,-0.1105,-6.73E-02
-0.086114,-0.0193,0.043277,5.39E-03,-0.038083,-1.44E+01,-0.14608,-1.25E-01,0.13044,1.19E-01,-0.052979,-4.42E-02,-0.13495,-1.48E-01,0.075704,1.06E-01,-0.11128,-6.87E-02
-0.088417,-0.02,0.032793,4.03E-03,0.043731,-1.41E+01,-0.15167,-1.31E-01,0.12281,1.13E-01,-0.053907,-4.48E-02,-0.12605,-1.38E-01,0.065591,9.52E-02,-0.11196,-7.00E-02
-0.090728,-0.0207,0.022277,2.68E-03,0.12576,-1.38E+01,-0.15719,-1.37E-01,0.11475,1.07E-01,-0.054799,-4.54E-02,-0.11745,-1.29E-01,0.0555,8.38E-02,-0.11255,-7.12E-02
-0.093043,-0.0214,0.011738,1.33E-03,0.20796,-1.35E+01,-0.1626,-1.43E-01,0.10626,9.98E-02,-0.055645,-4.59E-02,-0.10911,-1.20E-01,0.045428,7.22E-02,-0.11302,-7.22E-02
-0.095358,-0.0222,0.0011843,-1.74E-05,0.29031,-1.31E+01,-0.16787,-1.49E-01,0.097327,9.24E-02,-0.056438,-4.65E-02,-0.10099,-1.11E-01,0.035369,6.05E-02,-0.1134,-7.31E-02
-0.097668,-0.023,-0.0093756,-1.37E-03,0.37277,-1.28E+01,-0.17295,-1.55E-01,0.087945,8.46E-02,-0.057168,-4.69E-02,-0.093072,-1.02E-01,0.025318,4.87E-02,-0.11367,-7.38E-02
-0.099965,-0.0239,-0.019933,-2.71E-03,0.45531,-1.25E+01,-0.17778,-1.61E-01,0.078102,7.62E-02,-0.057826,-4.74E-02,-0.085313,-9.39E-02,0.015271,3.67E-02,-0.11384,-7.44E-02
-0.10225,-0.0248,-0.030481,-4.07E-03,0.53789,-1.22E+01,-0.18232,-1.67E-01,0.067791,6.73E-02,-0.058403,-4.77E-02,-0.077687,-8.57E-02,0.005221,2.47E-02,-0.1139,-7.49E-02
-0.1045,-0.0258,-0.041008,-5.42E-03,0.62049,-1.19E+01,-0.18651,-1.72E-01,0.057006,5.80E-02,-0.058888,-4.81E-02,-0.07017,-7.77E-02,-0.0048365,1.26E-02,-0.11386,-7.52E-02
-0.10672,-0.0268,-0.051507,-6.78E-03,0.70305,-1.16E+01,-0.19029,-1.78E-01,0.04574,4.80E-02,-0.059272,-4.83E-02,-0.062741,-6.98E-02,-0.014908,3.75E-04,-0.11372,-7.54E-02
-0.1089,-0.0279,-0.061966,-8.15E-03,0.78554,-1.13E+01,-0.19361,-1.83E-01,0.033991,3.76E-02,-0.059544,-4.85E-02,-0.05538,-6.20E-02,-0.024999,-1.18E-02,-0.11348,-7.54E-02
-0.11103,-0.029,-0.072374,-9.52E-03,0.86791,-1.10E+01,-0.19641,-1.87E-01,0.021757,2.66E-02,-0.059695,-4.85E-02,-0.048072,-5.43E-02,-0.035117,-2.41E-02,-0.11313,-7.53E-02
-0.11309,-0.0302,-0.08272,-1.09E-02,0.9501,-1.07E+01,-0.19862,-1.91E-01,0.0090365,1.51E-02,-0.059714,-4.85E-02,-0.040801,-4.67E-02,-0.04527,-3.63E-02,-0.11268,-7.50E-02
-0.11508,-0.0315,-0.09299,-1.23E-02,1.032,-1.04E+01,-0.20018,-1.95E-01,-0.0041662,2.97E-03,-0.059592,-4.83E-02,-0.033555,-3.91E-02,-0.055463,-4.85E-02,-0.11213,-7.46E-02
-0.11698,-0.0329,-0.10317,-1.37E-02,1.1137,-1.01E+01,-0.20104,-1.97E-01,-0.017846,-9.66E-03,-0.059319,-4.80E-02,-0.026322,-3.16E-02,-0.065705,-6.07E-02,-0.11148,-7.40E-02
-0.11877,-0.0343,-0.11324,-1.51E-02,1.1949,-9.85E+00,-0.20114,-2.00E-01,-0.031993,-2.28E-02,-0.058887,-4.76E-02,-0.019092,-2.41E-02,-0.076004,-7.28E-02,-0.11073,-7.33E-02
-0.12044,-0.0358,-0.12318,-1.65E-02,1.2757,-9.55E+00,-0.20041,-2.01E-01,-0.046596,-3.65E-02,-0.058288,-4.71E-02,-0.011854,-1.67E-02,-0.086366,-8.49E-02,-0.10988,-7.24E-02
-0.12197,-0.0375,-0.13298,-1.80E-02,1.356,-9.26E+00,-0.19879,-2.01E-01,-0.061636,-5.07E-02,-0.057513,-4.64E-02,-0.0046001,-9.22E-03,-0.096799,-9.69E-02,-0.10894,-7.14E-02
-0.12334,-0.0392,-0.14261,-1.94E-02,1.4355,-8.97E+00,-0.19625,-2.01E-01,-0.077091,-6.53E-02,-0.056557,-4.55E-02,0.0026797,-1.80E-03,-0.10731,-1.09E-01,-0.1079,-7.03E-02
-0.12451,-0.041,-0.15205,-2.09E-02,1.5142,-8.69E+00,-0.19272,-1.99E-01,-0.092932,-8.04E-02,-0.055414,-4.45E-02,0.009994,5.58E-03,-0.1179,-1.21E-01,-0.10678,-6.91E-02
-0.12547,-0.043,-0.16126,-2.23E-02,1.592,-8.41E+00,-0.18815,-1.96E-01,-0.10912,-9.59E-02,-0.05408,-4.33E-02,0.017351,1.29E-02,-0.12858,-1.32E-01,-0.10556,-6.77E-02
-0.12618,-0.0451,-0.17022,-2.38E-02,1.6687,-8.13E+00,-0.1825,-1.93E-01,-0.12562,-1.12E-01,-0.052553,-4.19E-02,0.024759,2.03E-02,-0.13935,-1.44E-01,-0.10426,-6.62E-02
-0.1266,-0.0474,-0.1789,-2.53E-02,1.7442,-7.85E+00,-0.17574,-1.87E-01,-0.14237,-1.28E-01,-0.050833,-4.04E-02,0.032227,2.76E-02,-0.15021,-1.55E-01,-0.10287,-6.47E-02
-0.12669,-0.0498,-0.18725,-2.68E-02,1.8182,-7.58E+00,-0.16781,-1.81E-01,-0.1593,-1.44E-01,-0.048921,-3.87E-02,0.039762,3.49E-02,-0.16116,-1.66E-01,-0.10141,-6.30E-02
-0.1264,-0.0523,-0.19525,-2.83E-02,1.8906,-7.31E+00,-0.15869,-1.73E-01,-0.17635,-1.61E-01,-0.046822,-3.68E-02,0.047374,4.21E-02,-0.17218,-1.77E-01,-0.099865,-6.13E-02
-0.12568,-0.0551,-0.20284,-2.98E-02,1.9611,-7.05E+00,-0.14834,-1.64E-01,-0.19342,-1.77E-01,-0.044543,-3.48E-02,0.055069,4.93E-02,-0.18329,-1.88E-01,-0.098251,-5.95E-02
-0.12447,-0.058,-0.20999,-3.13E-02,2.0295,-6.79E+00,-0.13673,-1.53E-01,-0.21042,-1.93E-01,-0.042094,-3.26E-02,0.062857,5.65E-02,-0.19445,-1.99E-01,-0.096571,-5.76E-02
-0.12268,-0.0611,-0.21664,-3.28E-02,2.0956,-6.54E+00,-0.12384,-1.41E-01,-0.22722,-2.09E-01,-0.039489,-3.03E-02,0.070746,6.37E-02,-0.20565,-2.09E-01,-0.094829,-5.57E-02
-0.12024,-0.0644,-0.22274,-3.43E-02,2.1591,-6.29E+00,-0.10962,-1.27E-01,-0.24368,-2.25E-01,-0.036743,-2.78E-02,0.078744,7.08E-02,-0.21689,-2.19E-01,-0.093033,-5.37E-02
-0.11705,-0.068,-0.22824,-3.58E-02,2.2197,-6.05E+00,-0.094052,-1.11E-01,-0.25966,-2.40E-01,-0.033878,-2.53E-02,0.086863,7.79E-02,-0.22813,-2.28E-01,-0.091188,-5.18E-02
-0.11301,-0.0717,-0.23307,-3.73E-02,2.2771,-5.82E+00,-0.0771,-9.38E-02,-0.27498,-2.55E-01,-0.030918,-2.26E-02,0.095111,8.50E-02,-0.23936,-2.38E-01,-0.089303,-4.98E-02
-0.10797,-0.0757,-0.23719,-3.88E-02,2.3309,-5.59E+00,-0.05873,-7.49E-02,-0.28945,-2.68E-01,-0.02789,-2.00E-02,0.1035,9.21E-02,-0.25059,-2.46E-01,-0.087386,-4.78E-02
-0.1018,-0.0798,-0.24053,-4.03E-02,2.3809,-5.37E+00,-0.0389,-5.42E-02,-0.30287,-2.81E-01,-0.024828,-1.73E-02,0.11206,9.93E-02,-0.26183,-2.55E-01,-0.085444,-4.58E-02
-0.094324,-0.0841,-0.24301,-4.17E-02,2.4266,-5.16E+00,-0.017564,-3.17E-02,-0.31502,-2.92E-01,-0.021765,-1.46E-02,0.12079,1.07E-01,-0.27313,-2.64E-01,-0.083486,-4.38E-02
-0.085362,-0.0885,-0.24458,-4.31E-02,2.4677,-4.96E+00,0.0053321,-7.37E-03,-0.32566,-3.01E-01,-0.01874,-1.20E-02,0.12975,1.14E-01,-0.2846,-2.73E-01,-0.08152,-4.19E-02
-0.074692,-0.0929,-0.24517,-4.45E-02,2.5039,-4.76E+00,0.02985,1.89E-02,-0.33455,-3.08E-01,-0.015794,-9.46E-03,0.13895,1.22E-01,-0.29641,-2.83E-01,-0.079551,-3.99E-02
-0.062072,-0.0972,-0.2447,-4.58E-02,2.5347,-4.58E+00,0.056062,4.72E-02,-0.34145,-3.14E-01,-0.01297,-7.07E-03,0.14848,1.29E-01,-0.30887,-2.94E-01,-0.077584,-3.80E-02
-0.047226,-0.101,-0.24312,-4.70E-02,2.5597,-4.40E+00,0.08405,7.76E-02,-0.34609,-3.17E-01,-0.01031,-4.86E-03,0.15841,1.38E-01,-0.3224,-3.07E-01,-0.075619,-3.62E-02
-0.029848,-0.104,-0.24035,-4.82E-02,2.5786,-4.24E+00,0.11391,1.10E-01,-0.34826,-3.18E-01,-0.0078576,-2.85E-03,0.16886,1.47E-01,-0.33759,-3.24E-01,-0.073651,-3.43E-02
-0.0095984,-0.106,-0.23633,-4.92E-02,2.5909,-4.09E+00,0.14575,1.45E-01,-0.34773,-3.15E-01,-0.005653,-1.10E-03,0.18001,1.57E-01,-0.35518,-3.44E-01,-0.071671,-3.24E-02
0.013894,-0.107,-0.231,-5.02E-02,2.5964,-3.94E+00,0.17968,1.82E-01,-0.34431,-3.10E-01,-0.003734,3.74E-04,0.19208,1.69E-01,-0.37601,-3.69E-01,-0.069659,-3.05E-02
0.041031,-0.104,-0.2243,-5.10E-02,2.5945,-3.82E+00,0.21584,2.22E-01,-0.33785,-3.02E-01,-0.0021334,1.54E-03,0.20541,1.82E-01,-0.40086,-3.98E-01,-0.06759,-2.84E-02
0.07224,-0.0972,-0.21618,-5.16E-02,2.585,-3.70E+00,0.25437,2.65E-01,-0.32822,-2.91E-01,-0.000878,2.37E-03,0.22045,1.99E-01,-0.43016,-4.31E-01,-0.065432,-2.62E-02
0.10797,-0.0838,-0.20659,-5.19E-02,2.5675,-3.59E+00,0.29543,3.10E-01,-0.31538,-2.77E-01,1.25E-05,2.86E-03,0.23778,2.18E-01,-0.46355,-4.67E-01,-0.063152,-2.39E-02
0.14867,-0.0609,-0.19549,-5.20E-02,2.5418,-3.50E+00,0.3392,3.59E-01,-0.29931,-2.59E-01,0.00052661,3.01E-03,0.25823,2.43E-01,-0.49929,-5.00E-01,-0.060724,-2.14E-02
0.19478,-0.025,-0.18285,-5.15E-02,2.5076,-3.43E+00,0.38586,4.11E-01,-0.28007,-2.39E-01,0.00066141,2.80E-03,0.28284,2.73E-01,-0.53374,-5.26E-01,-0.05815,-1.88E-02
0.24673,0.0275,-0.16865,-5.05E-02,2.4646,-3.37E+00,0.43564,4.66E-01,-0.25778,-2.16E-01,0.00042262,2.27E-03,0.31298,3.12E-01,-0.56107,-5.38E-01,-0.05548,-1.62E-02
0.3049,0.1,-0.15288,-4.86E-02,2.4127,-3.32E+00,0.4888,5.26E-01,-0.23262,-1.91E-01,-0.00017591,1.41E-03,0.35031,3.61E-01,-0.57374,-5.29E-01,-0.052837,-1.37E-02
0.36956,0.196,-0.13554,-4.56E-02,2.3517,-3.28E+00,0.54563,5.89E-01,-0.20483,-1.63E-01,-0.0011133,2.56E-04,0.39683,4.23E-01,-0.56389,-4.92E-01,-0.050412,-1.16E-02
0.44092,0.316,-0.11664,-4.12E-02,2.2816,-3.26E+00,0.60654,6.58E-01,-0.17467,-1.33E-01,-0.0023629,-1.17E-03,0.45474,5.00E-01,-0.52552,-4.26E-01,-0.048433,-9.99E-03
0.51902,0.46,-0.096202,-3.49E-02,2.2025,-3.26E+00,0.67205,7.32E-01,-0.14247,-1.01E-01,-0.0038915,-2.83E-03,0.52632,5.94E-01,-0.45671,-3.34E-01,-0.047088,-9.08E-03
0.60375,0.624,-0.074263,-2.62E-02,2.1142,-3.27E+00,0.74288,8.12E-01,-0.10856,-6.84E-02,-0.0056707,-4.70E-03,0.61371,7.07E-01,-0.36085,-2.26E-01,-0.046447,-8.83E-03
0.69481,0.806,-0.050873,-1.47E-02,2.0138,-3.30E+00,0.82005,9.01E-01,-0.073293,-3.46E-02,-0.0077313,-6.75E-03,0.71894,8.40E-01,-0.24608,-1.12E-01,-0.046457,-9.09E-03
0.79171,1,-0.026094,0.00E+00,1.9058,-3.36E+00,0.90503,1.00E+00,-0.037001,0.00E+00,-0.0099607,-8.96E-03,0.84506,1.00E+00,-0.12279,0.00E+00,-0.046902,-9.66E-03
0.89372,,0,,1.8517,-3.33E+00,1,,0,,-0.011079,-7.86E-03,1,,0,,-0.047193,-9.37E-03
1,,,,,,,,,,,,,,,,,
